ProductSupplierID,ProductID,ProductName,ProductCategory,SupplierID,SupplierName,SupplierProductCode,WholesaleCost,MinOrderQuantity,MaxOrderQuantity,LeadTimeDays,Status,CreatedBy,CreatedDate
1,1541,TrekReady Hiking Boots,General,4,Worldwide Importers,WOR-1541,70.17,10,,33,Active,system,2025-10-01 20:25:56
2,1571,CozyNights Sleeping Bag,General,4,Worldwide Importers,WOR-1571,277.24,1,,24,Active,system,2025-12-20 20:25:56
3,1511,Alpine Explorer Tent,General,4,Worldwide Importers,WOR-1511,192.56,25,500.0,24,Active,system,2025-12-11 20:25:56
4,2121,Bamboo Cutting Board Set,General,4,Worldwide Importers,WOR-2121,75.19,50,500.0,27,Active,system,2025-11-16 20:25:56
5,3021,Nordic Classic XC Skis - 185cm,General,4,Worldwide Importers,WOR-3021,192.68,1,2000.0,32,Active,system,2025-10-09 20:25:56
6,3033,Women's Performance Ski Boots,General,4,Worldwide Importers,WOR-3033,281.91,1,2000.0,28,Active,system,2025-12-27 20:25:56
7,3061,Professional Ski Helmet,General,4,Worldwide Importers,WOR-3061,222.2,25,500.0,29,Active,system,2025-10-09 20:25:56
8,3062,Anti-Fog Ski Goggles,General,4,Worldwide Importers,WOR-3062,122.24,50,500.0,28,Active,system,2025-10-18 20:25:56
9,3072,Hand Warmers - 10 Pack,General,4,Worldwide Importers,WOR-3072,184.11,10,2000.0,24,Active,system,2025-10-05 20:25:56
10,3081,All-Temp Ski Wax Kit,General,4,Worldwide Importers,WOR-3081,55.15,10,500.0,31,Active,system,2025-11-25 20:25:56
11,3104,Ski Tuning Bench - Portable,General,4,Worldwide Importers,WOR-3104,272.16,50,,27,Active,system,2025-09-24 20:25:56
