EventID,DisruptionType,EventName,Description,Severity,Status,StartDate,EndDate,GeographicArea,IndustryImpact,PredictedDuration,ActualDuration,AlertLevel,ReportedBy,CreatedBy,CreatedDate
1,Economic,Raw Material Shortage - 1,Global shortage of key manufacturing materials,Critical,Resolved,2026-01-28,2026-02-19,Global,Manufacturing,7,22.0,Yellow,Supply Chain Monitor,system,2026-01-28 21:27:15
2,Economic,Raw Material Shortage - 2,Global shortage of key manufacturing materials,Critical,Resolved,2025-12-05,2025-12-30,Global,Manufacturing,7,25.0,Orange,Supply Chain Monitor,system,2025-12-05 21:27:15
3,Weather,Winter Storm Alpha - 3,Major winter storm affecting transportation networks,High,Monitoring,2026-01-23,,Northwestern USA,Logistics,4,,Orange,Supply Chain Monitor,system,2026-01-23 21:27:15
4,Economic,Raw Material Shortage - 4,Global shortage of key manufacturing materials,Critical,Resolved,2026-02-21,2026-03-18,Global,Manufacturing,20,25.0,Yellow,Supply Chain Monitor,system,2026-02-21 21:27:15
5,Economic,Raw Material Shortage - 5,Global shortage of key manufacturing materials,Critical,Resolved,2025-12-06,2025-12-22,Global,Manufacturing,8,16.0,Yellow,Supply Chain Monitor,system,2025-12-06 21:27:15
6,Weather,Winter Storm Alpha - 6,Major winter storm affecting transportation networks,High,Monitoring,2025-12-18,,Northwestern USA,Logistics,12,,Orange,Supply Chain Monitor,system,2025-12-18 21:27:15
7,Supplier,Factory Maintenance - 7,Scheduled maintenance at key supplier facility,Medium,Resolved,2026-01-16,2026-01-20,Regional,Manufacturing,21,4.0,Orange,Supply Chain Monitor,system,2026-01-16 21:27:15
8,Weather,Winter Storm Alpha - 8,Major winter storm affecting transportation networks,High,Resolved,2026-01-16,2026-01-27,Northwestern USA,Logistics,12,11.0,Yellow,Supply Chain Monitor,system,2026-01-16 21:27:15
9,Economic,Raw Material Shortage - 9,Global shortage of key manufacturing materials,Critical,Resolved,2026-02-07,2026-02-25,Global,Manufacturing,7,18.0,Yellow,Supply Chain Monitor,system,2026-02-07 21:27:15
10,Economic,Raw Material Shortage - 10,Global shortage of key manufacturing materials,Critical,Resolved,2026-01-06,2026-01-10,Global,Manufacturing,4,4.0,Yellow,Supply Chain Monitor,system,2026-01-06 21:27:15
11,Economic,Raw Material Shortage - 11,Global shortage of key manufacturing materials,Critical,Resolved,2025-12-09,2025-12-10,Global,Manufacturing,13,1.0,Yellow,Supply Chain Monitor,system,2025-12-09 21:27:15
12,Economic,Raw Material Shortage - 12,Global shortage of key manufacturing materials,Critical,Resolved,2026-02-22,2026-02-28,Global,Manufacturing,14,6.0,Yellow,Supply Chain Monitor,system,2026-02-22 21:27:15
13,Supplier,Factory Maintenance - 13,Scheduled maintenance at key supplier facility,Medium,Resolved,2025-12-22,2025-12-24,Regional,Manufacturing,16,2.0,Yellow,Supply Chain Monitor,system,2025-12-22 21:27:15
14,Economic,Raw Material Shortage - 14,Global shortage of key manufacturing materials,Critical,Resolved,2026-01-08,2026-01-28,Global,Manufacturing,6,20.0,Red,Supply Chain Monitor,system,2026-01-08 21:27:15
15,Supplier,Factory Maintenance - 15,Scheduled maintenance at key supplier facility,Medium,Resolved,2025-12-03,2025-12-25,Regional,Manufacturing,13,22.0,Yellow,Supply Chain Monitor,system,2025-12-03 21:27:15
